crash_id,county,region,highway_name,highway_class,intersection_rel,special_feature_1,special_feature_2,severity_level,visual_injured_num,fatal_num,suspected_serious_injured_num,non_incapacitated_injured_num,possibly_injured_num,crash_type,main_crash_type,latitude,longitude,year,date,time,number_of_vehicles,number_of_commercial_vehicles,work_zone,railroad_crossing,alcohol,drug,Alcohol or Drug,weather_condition,lighting_condition,road_condition,manner_of_collision,pedestrians_num,roadway_departure,cross_centerline,hit_and_run,emergency_vehicle_use,unit_type,vehicle_type,age,sex,driver_of_vehicle,injury_severity,person_condition,restraint_use,older_driver,teen_driver,Sleepy/Ill/Dizzy Driver,unsafe_unlaw_category,unsafe_unlaw_desc,Abnormal Traffic Control,Alcohol-DUI/DWI,Animal in Roadway,Apparently Sleepy,Avoiding Other Vehicle,Avoiding Pedestrian,Changed Lanes Unsafely,Deer in Roadway,Defect in Roadway,Disregarded Warning Signal,Domestic Animal in Roadway,Drug-DUI,Failed to Secure Load,Failed to Signal,Failed to Stop,Failed to Yield,Followed too Closely,Improper Backing,Improper Bicyclist Action,Improper Overtaking,Improper Parking,Improper Start From,Improper Turn,Improper Use of Lane,Distraction,Left of Center,No Improper Action by Driver,Object/Debris in Roadway,Other Improper Act/Movement,Pedestrian Action,Stopped in Traffic Lane,Speeding,Unsafe Vehicle,Wrong Way,Bad Weather,Bad Lighting,Bad Road Condition
170111226,Sequoyah,southern,I-40,Interstate,1,0.0,0.0,property_damage,0.0,0,0.0,0.0,0.0,F-O TRAFF-SIGNAL,FIXED-OBJECT,35.4057358,-94.5247586,2017,2017-01-01,3.5,1,0,N,       ,Y,N,1,Fog/Smoke,Dark / Lighted,2.0,20,0,Roadway Departure Right,0,N,0.0,D,4.0,24.0,M,Y,1.0,Drinking - Ability Impaired,99.0,0,0,0,Alcohol-DUI/DWI,Alcohol-DUI/DWI,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
170301856,Sequoyah,southern,I-40,US Route,1,21.0,0.0,possible_injury,0.0,0,0.0,0.0,1.0,ANGLE-TURNING,ANGLE-TURNING,35.4082292,-94.5203808,2017,2017-01-14,18.19,2,0,N,       ,Y,N,1,Clear,Dark / Lighted,1.0,7,0,No Roadway Departure,0,Y,2.0,D,2.0,55.0,M,Y,1.0,Drinking - Ability Impaired,99.0,0,0,0,Alcohol-DUI/DWI,Alcohol-DUI/DWI,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170402179,Washington,northern,,City Street,6,0.0,0.0,non_incapacitating_injury,1.0,0,0.0,1.0,1.0,ROLLOVER,ROLLOVER,36.7447079,-95.91241007,2017,2017-01-11,23.45,1,0,N,       ,Y,Y,1,Cloudy,Dark / Lighted,1.0,37,0,Fixed Object,1,Y,0.0,D,20.0,24.0,M,Y,1.0,Under the Influence of Medication,4.0,0,0,0,Drug-DUI,Drug-DUI,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170402187,Washington,northern,US-60,US Route,0,0.0,0.0,incapacitating_injury,4.0,0,4.0,0.0,0.0,HEAD-ON,HEAD-ON,36.7463944,-95.9762167,2017,2017-01-07,21.0,2,0,N,       ,Y,N,1,Clear,Dark / Lighted,1.0,18,0,No Roadway Departure,0,N,0.0,D,4.0,45.0,M,Y,4.0,Apparently Normal,1.0,0,0,0,Left of Center,In Meeting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
170402198,Washington,northern,,City Street,1,0.0,0.0,property_damage,0.0,0,0.0,0.0,0.0,F-O DROP-OFF,FIXED-OBJECT,36.774232,-96.000693,2017,2017-01-29,1.28,1,0,N,       ,Y,N,1,Clear,Dark / Lighted,1.0,20,0,Roadway Departure Right,0,N,0.0,D,2.0,45.0,M,Y,1.0,Under the Influence of Medication,4.0,0,0,0,Alcohol-DUI/DWI,Alcohol-DUI/DWI,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170441187,Muskogee,southern,,City Street,1,0.0,0.0,non_incapacitating_injury,1.0,0,0.0,1.0,1.0,RIGHT-ANGLE,RIGHT-ANGLE,35.7550319,-95.3118775,2017,2017-01-02,17.5,2,0,N,       ,Y,N,1,Clear,Dark / Unlighted,1.0,1,0,No Roadway Departure,0,N,0.0,D,4.0,55.0,M,Y,2.0,Drinking - Ability Impaired,99.0,0,0,0,Alcohol-DUI/DWI,Alcohol-DUI/DWI,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
170463828,Tulsa,northern,,City Street,8,0.0,0.0,property_damage,0.0,0,0.0,0.0,0.0,F-O TRAFF-SIGNAL,FIXED-OBJECT,36.2785311,-95.83050143,2017,2017-02-06,7.18,1,0,N,       ,Y,N,1,Cloudy,Dawn,2.0,33,0,Fixed Object,0,N,0.0,D,6.0,56.0,M,Y,1.0,Apparently Normal,99.0,0,0,0,Unsafe Vehicle,Other Mechanical Defect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
170463833,Tulsa,northern,,City Street,5,0.0,0.0,non_incapacitating_injury,1.0,0,0.0,1.0,0.0,OTHER,OTHER,36.26429983,-95.8375232,2017,2017-02-05,1.43,2,0,N,       ,Y,N,1,Clear,Dark / Unlighted,1.0,35,0,No Roadway Departure,0,N,0.0,D,2.0,25.0,M,Y,1.0,Apparently Normal,4.0,0,0,0,Alcohol-DUI/DWI,Alcohol-DUI/DWI,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
170581383,Rogers,northern,,County Road,0,0.0,0.0,property_damage,0.0,0,0.0,0.0,0.0,F-O CULVERT,FIXED-OBJECT,36.245126,-95.6907275,2017,2017-02-21,2.32,1,0,N,       ,Y,N,1,Fog/Smoke,Dark / Unlighted,1.0,20,0,Roadway Departure Right,0,N,0.0,D,20.0,31.0,F,Y,1.0,Drinking - Ability Impaired,4.0,0,0,0,Alcohol-DUI/DWI,Alcohol-DUI/DWI,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
170603072,Tulsa,northern,,City Street,7,1.0,0.0,property_damage,0.0,0,0.0,0.0,0.0,ANGLE-TURNING,ANGLE-TURNING,36.29273269,-95.83116598,2017,2017-02-18,11.39,2,0,N,       ,Y,N,1,Clear,Daylight,1.0,6,0,No Roadway Departure,0,N,0.0,D,4.0,16.0,M,Y,1.0,Apparently Normal,4.0,0,1,0,Failed to Yield,Private Drive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170621619,Tulsa,northern,SH-20,State Highway,1,0.0,0.0,property_damage,0.0,0,0.0,0.0,0.0,REAR-END,REAR-END,36.3656321,-95.866803,2017,2017-01-27,13.45,2,0,N,       ,Y,N,1,Clear,Daylight,1.0,2,0,No Roadway Departure,0,N,0.0,D,2.0,16.0,M,Y,1.0,Apparently Normal,4.0,0,1,0,Followed too Closely,Human Element,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170662299,Washington,northern,,City Street,1,0.0,0.0,property_damage,0.0,0,0.0,0.0,0.0,OTHER,OTHER,36.7414696,-95.9806572,2017,2017-02-22,22.17,2,0,N,       ,Y,N,1,Clear,Dark / Unlighted,1.0,36,0,No Roadway Departure,0,N,0.0,D,1.0,38.0,M,Y,1.0,Drinking - Ability Impaired,4.0,0,0,0,Alcohol-DUI/DWI,Alcohol-DUI/DWI,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
170662303,Washington,northern,,City Street,1,0.0,0.0,possible_injury,0.0,0,0.0,0.0,2.0,REAR-END,REAR-END,36.7514674,-95.9730773,2017,2017-02-22,13.27,2,0,N,       ,N,Y,1,Cloudy,Daylight,1.0,4,0,No Roadway Departure,0,N,0.0,D,2.0,25.0,M,Y,1.0,Illigal Drugs,4.0,0,0,0,Followed too Closely,Human Element,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170662304,Washington,northern,US-60,US Route,1,0.0,0.0,property_damage,0.0,0,0.0,0.0,0.0,OTH-BACKING,OTH-BACKING,36.7488861,-96.0006719,2017,2017-02-22,10.03,2,0,N,       ,N,Y,1,Clear,Daylight,1.0,27,0,No Roadway Departure,0,N,0.0,D,2.0,27.0,F,Y,1.0,Under the Influence of Medication,1.0,0,0,0,Drug-DUI,Drug-DUI,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170662317,Washington,northern,US-75,US Route,1,0.0,0.0,property_damage,0.0,0,0.0,0.0,0.0,OTH-BACKING,OTH-BACKING,36.7504906,-95.9354435,2017,2017-02-13,20.2,2,0,N,       ,N,Y,1,Rain,Dark / Lighted,2.0,27,0,No Roadway Departure,0,N,2.0,D,4.0,52.0,M,Y,1.0,Under the Influence of Medication,4.0,0,0,0,Drug-DUI,Drug-DUI,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
170662321,Washington,northern,,City Street,1,0.0,0.0,non_incapacitating_injury,1.0,0,0.0,1.0,0.0,F-O TREE,FIXED-OBJECT,36.7384489,-95.9179833,2017,2017-02-11,23.31,1,0,N,       ,Y,N,1,Clear,Dark / Lighted,1.0,41,0,Fixed Object,0,N,0.0,D,21.0,26.0,M,Y,3.0,Odor of Alcohol Beverage,4.0,0,0,0,Alcohol-DUI/DWI,Alcohol-DUI/DWI,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170693454,Sequoyah,southern,US-59,US Route,1,0.0,0.0,property_damage,0.0,0,0.0,0.0,0.0,REAR-END,REAR-END,35.4603201,-94.7926717,2017,2017-02-13,15.5,2,0,N,       ,Y,N,1,Cloudy,Daylight,1.0,2,0,No Roadway Departure,0,N,0.0,D,2.0,48.0,F,Y,1.0,Odor of Alcohol Beverage,99.0,0,0,0,Inattention,Distracted by Passenger in Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
170801295,Tulsa,northern,,City Street,6,0.0,0.0,property_damage,0.0,0,0.0,0.0,0.0,OTHER,OTHER,36.2712455,-95.85832447,2017,2017-03-12,0.45,2,0,N,       ,Y,N,1,Clear,Dark / Lighted,1.0,36,0,No Roadway Departure,1,Y,0.0,D,4.0,25.0,M,Y,1.0,Apparently Normal,4.0,0,0,0,Alcohol-DUI/DWI,Alcohol-DUI/DWI,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170881347,Tulsa,northern,US-169,US Route,0,40.0,0.0,non_incapacitating_injury,1.0,0,0.0,1.0,1.0,ROLLOVER,ROLLOVER,36.2945188,-95.8316949,2017,2017-03-15,18.38,1,0,N,       ,Y,N,1,Clear,Daylight,1.0,19,0,Roadway Departure Left,0,N,0.0,D,1.0,26.0,M,Y,2.0,Drinking - Ability Impaired,4.0,0,0,0,Alcohol-DUI/DWI,Alcohol-DUI/DWI,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
