crash_id,county,region,highway_name,highway_class,intersection_rel,special_feature_1,special_feature_2,severity_level,visual_injured_num,fatal_num,suspected_serious_injured_num,non_incapacitated_injured_num,possibly_injured_num,crash_type,main_crash_type,latitude,longitude,year,date,time,number_of_vehicles,number_of_commercial_vehicles,work_zone,railroad_crossing,alcohol,drug,Alcohol or Drug,weather_condition,lighting_condition,road_condition,manner_of_collision,pedestrians_num,roadway_departure,cross_centerline,hit_and_run,emergency_vehicle_use,unit_type,vehicle_type,age,sex,driver_of_vehicle,injury_severity,person_condition,restraint_use,older_driver,teen_driver,Sleepy/Ill/Dizzy Driver,unsafe_unlaw_category,unsafe_unlaw_desc,Abnormal Traffic Control,Alcohol-DUI/DWI,Animal in Roadway,Apparently Sleepy,Avoiding Other Vehicle,Avoiding Pedestrian,Changed Lanes Unsafely,Deer in Roadway,Defect in Roadway,Disregarded Warning Signal,Domestic Animal in Roadway,Drug-DUI,Failed to Secure Load,Failed to Signal,Failed to Stop,Failed to Yield,Followed too Closely,Improper Backing,Improper Bicyclist Action,Improper Overtaking,Improper Parking,Improper Start From,Improper Turn,Improper Use of Lane,Distraction,Left of Center,No Improper Action by Driver,Object/Debris in Roadway,Other Improper Act/Movement,Pedestrian Action,Stopped in Traffic Lane,Speeding,Unsafe Vehicle,Wrong Way,Bad Weather,Bad Lighting,Bad Road Condition
170111226,Sequoyah,southern,I-40,Interstate,1,0.0,0.0,property_damage,0.0,0,0.0,0.0,0.0,F-O TRAFF-SIGNAL,FIXED-OBJECT,35.4057358,-94.5247586,2017,2017-01-01,3.5,1,0,N,       ,Y,N,1,Fog/Smoke,Dark / Lighted,2.0,20,0,Roadway Departure Right,0,N,0.0,D,4.0,24.0,M,Y,1.0,Drinking - Ability Impaired,99.0,0,0,0,Alcohol-DUI/DWI,Alcohol-DUI/DWI,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
170190263,Rogers,northern,SH-266,State Highway,0,0.0,0.0,property_damage,0.0,0,0.0,0.0,0.0,OTHER,OTHER,36.2495136,-95.7333478,2017,2017-01-13,23.3,2,0,N,       ,N,N,0,Sleet/Hail/Freezing Rain,Dark / Unlighted,3.0,35,0,No Roadway Departure,0,N,2.0,D,4.0,42.0,M,Y,1.0,Apparently Normal,4.0,0,0,0,No Improper Action by Driver,No Improper Action by Driver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
170191277,Rogers,northern,US-169,US Route,1,0.0,0.0,property_damage,0.0,0,0.0,0.0,0.0,ANGLE-TURNING,ANGLE-TURNING,36.524108,-95.7016075,2017,2017-01-15,20.08,2,0,N,       ,N,N,0,Rain,Dark / Lighted,2.0,7,0,No Roadway Departure,0,N,0.0,D,2.0,85.0,F,Y,1.0,Apparently Normal,4.0,1,0,0,Improper Turn,In Front of Oncoming Traffic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
170263013,Tulsa,northern,US-169,US Route,1,0.0,0.0,property_damage,0.0,0,0.0,0.0,0.0,SIDESWIPE-SAME,SIDESWIPE-SAME,36.2494921,-95.8479739,2017,2017-01-13,14.3,2,0,N,       ,N,N,0,Rain,Daylight,2.0,16,0,No Roadway Departure,0,N,0.0,D,20.0,37.0,M,Y,1.0,Apparently Normal,4.0,0,0,0,No Improper Action by Driver,No Improper Action by Driver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
170332749,Mayes,northern,US-69,US Route,1,0.0,0.0,non_incapacitating_injury,1.0,0,0.0,1.0,0.0,REAR-END,REAR-END,36.2614409,-95.3334103,2017,2017-01-22,13.33,2,1,N,       ,N,N,0,Rain,Daylight,2.0,2,0,No Roadway Departure,0,N,0.0,D,4.0,29.0,M,Y,1.0,Apparently Normal,4.0,0,0,0,Followed too Closely,Human Element,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
170402171,Washington,northern,US-75,US Route,0,0.0,0.0,possible_injury,0.0,0,0.0,0.0,1.0,SIDESWIPE-SAME,SIDESWIPE-SAME,36.7199122,-95.9351757,2017,2017-01-15,22.1,2,0,N,       ,N,N,0,Rain,Dark / Lighted,2.0,16,0,No Roadway Departure,0,N,0.0,D,1.0,17.0,M,Y,1.0,Apparently Normal,4.0,0,1,0,Failed to Yield,To Vehicle on Right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
170402172,Washington,northern,,City Street,7,0.0,0.0,property_damage,0.0,0,0.0,0.0,0.0,F-O CURB,FIXED-OBJECT,36.73503309,-95.9172535,2017,2017-01-15,3.01,1,0,N,       ,N,N,0,Sleet/Hail/Freezing Rain,Dark / Unlighted,2.0,20,0,Roadway Departure Right,0,N,0.0,D,4.0,23.0,M,Y,1.0,Unknown,99.0,0,0,0,Unsafe Speed,Rain or Wet Roadway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
170402173,Washington,northern,,City Street,6,10.0,0.0,possible_injury,0.0,0,0.0,0.0,1.0,F-O BR-RAIL,FIXED-OBJECT,36.7461915,-95.96360937,2017,2017-01-13,18.52,1,0,N,       ,N,N,0,Sleet/Hail/Freezing Rain,Dark / Lighted,3.0,20,0,Roadway Departure Right,0,N,0.0,D,20.0,37.0,M,Y,2.0,Apparently Normal,4.0,0,0,0,Unsafe Speed,For Traffic Conditions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
170402175,Washington,northern,,City Street,7,0.0,0.0,possible_injury,0.0,0,0.0,0.0,1.0,F-O UTIL-POLE,FIXED-OBJECT,36.72187189,-95.930842,2017,2017-01-13,10.45,1,0,N,       ,N,N,0,Sleet/Hail/Freezing Rain,Daylight,2.0,19,0,Roadway Departure Left,0,N,0.0,D,2.0,17.0,F,Y,2.0,Apparently Normal,1.0,0,1,0,Unsafe Vehicle,Other Mechanical Defect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
170402176,Washington,northern,,City Street,1,0.0,0.0,possible_injury,0.0,0,0.0,0.0,2.0,PEDESTRIAN,PEDESTRIAN,36.7514594,-95.9787608,2017,2017-01-13,7.34,1,0,N,       ,N,N,0,Sleet/Hail/Freezing Rain,Dawn,2.0,29,2,No Roadway Departure,0,Y,0.0,D,99.0,0.0,9,Y,1.0,Unknown,99.0,0,0,0,Failed to Yield,To Pedestrian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
