crash_id,county,region,highway_name,highway_class,intersection_rel,special_feature_1,special_feature_2,severity_level,visual_injured_num,fatal_num,suspected_serious_injured_num,non_incapacitated_injured_num,possibly_injured_num,crash_type,main_crash_type,latitude,longitude,year,date,time,number_of_vehicles,number_of_commercial_vehicles,work_zone,railroad_crossing,alcohol,drug,Alcohol or Drug,weather_condition,lighting_condition,road_condition,manner_of_collision,pedestrians_num,roadway_departure,cross_centerline,hit_and_run,emergency_vehicle_use,unit_type,vehicle_type,age,sex,driver_of_vehicle,injury_severity,person_condition,restraint_use,older_driver,teen_driver,Sleepy/Ill/Dizzy Driver,unsafe_unlaw_category,unsafe_unlaw_desc,Abnormal Traffic Control,Alcohol-DUI/DWI,Animal in Roadway,Apparently Sleepy,Avoiding Other Vehicle,Avoiding Pedestrian,Changed Lanes Unsafely,Deer in Roadway,Defect in Roadway,Disregarded Warning Signal,Domestic Animal in Roadway,Drug-DUI,Failed to Secure Load,Failed to Signal,Failed to Stop,Failed to Yield,Followed too Closely,Improper Backing,Improper Bicyclist Action,Improper Overtaking,Improper Parking,Improper Start From,Improper Turn,Improper Use of Lane,Distraction,Left of Center,No Improper Action by Driver,Object/Debris in Roadway,Other Improper Act/Movement,Pedestrian Action,Stopped in Traffic Lane,Speeding,Unsafe Vehicle,Wrong Way,Bad Weather,Bad Lighting,Bad Road Condition
170203160,Mayes,northern,,City Street,1,0.0,0.0,property_damage,0.0,0,0.0,0.0,0.0,RIGHT-ANGLE,RIGHT-ANGLE,36.3096781,-95.316287,2017,2017-01-03,17.59,2,0,N,       ,N,N,0,Clear,Dark / Lighted,1.0,1,0,No Roadway Departure,0,N,0.0,D,20.0,66.0,F,Y,1.0,Apparently Normal,4.0,1,0,0,Failed to Yield,From Stop Sign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170203167,Tulsa,northern,US-169,US Route,1,0.0,0.0,possible_injury,0.0,0,0.0,0.0,2.0,ANGLE-TURNING,ANGLE-TURNING,36.2685495,-95.8479097,2017,2017-01-04,6.39,2,0,N,       ,N,N,0,Clear,Dark / Unlighted,1.0,6,0,No Roadway Departure,0,N,0.0,D,2.0,35.0,F,Y,2.0,Apparently Normal,4.0,0,0,0,Failed to Yield,From Stop Sign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
170203170,Tulsa,northern,,City Street,1,0.0,0.0,property_damage,0.0,0,0.0,0.0,0.0,ANGLE-TURNING,ANGLE-TURNING,36.3075531,-95.8121797,2017,2017-01-06,17.5,2,0,N,       ,N,N,0,Clear,Dark / Unlighted,1.0,13,0,No Roadway Departure,0,N,0.0,D,20.0,55.0,F,Y,1.0,Apparently Normal,4.0,0,0,0,Failed to Yield,From Stop Sign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
170232179,Rogers,northern,SH-66,State Highway,1,0.0,0.0,incapacitating_injury,2.0,0,1.0,1.0,0.0,RIGHT-ANGLE,RIGHT-ANGLE,36.5245224,-95.4376102,2017,2017-01-11,17.45,2,0,N,       ,N,N,0,Clear,Dark / Unlighted,1.0,1,0,Roadway Departure Left,0,N,0.0,D,2.0,85.0,M,Y,3.0,Apparently Normal,4.0,1,0,0,Failed to Yield,From Yield Sign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
170232181,Sequoyah,southern,US-64,US Route,0,1.0,0.0,property_damage,0.0,0,0.0,0.0,0.0,ANGLE-TURNING,ANGLE-TURNING,35.4050866,-94.5256576,2017,2017-01-17,8.42,2,0,N,       ,N,N,0,Clear,Daylight,1.0,12,0,No Roadway Departure,0,N,0.0,D,4.0,69.0,M,Y,1.0,Apparently Normal,4.0,1,0,0,Failed to Yield,Private Drive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170263012,Tulsa,northern,,City Street,1,0.0,0.0,property_damage,0.0,0,0.0,0.0,0.0,ANGLE-TURNING,ANGLE-TURNING,36.2929909,-95.8301704,2017,2017-01-12,10.56,2,0,N,       ,N,N,0,Clear,Daylight,1.0,13,0,No Roadway Departure,0,N,0.0,D,2.0,34.0,M,Y,1.0,Apparently Normal,4.0,0,0,0,Failed to Yield,From Signal Light,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170263016,Tulsa,northern,US-169,US Route,1,21.0,0.0,property_damage,0.0,0,0.0,0.0,0.0,ANGLE-TURNING,ANGLE-TURNING,36.2641852,-95.8479244,2017,2017-01-18,17.3,2,0,N,       ,N,N,0,Clear,Dusk,1.0,7,0,Roadway Departure Left,0,N,0.0,D,20.0,45.0,F,Y,1.0,Apparently Normal,4.0,0,0,0,Failed to Yield,From Signal Light,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
170332781,Tulsa,northern,,City Street,8,1.0,0.0,possible_injury,0.0,0,0.0,0.0,1.0,ANGLE-TURNING,ANGLE-TURNING,36.2930065,-95.83150231,2017,2017-01-19,12.15,2,0,N,       ,N,N,0,Cloudy,Daylight,1.0,6,0,No Roadway Departure,0,N,0.0,D,2.0,77.0,F,Y,1.0,Apparently Normal,4.0,1,0,0,Failed to Yield,Private Drive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170332783,Tulsa,tulsa,I-244,Interstate,0,32.0,0.0,property_damage,0.0,0,0.0,0.0,0.0,OTHER,OTHER,36.1623882,-95.8785639,2017,2017-01-19,22.04,1,0,N,       ,N,N,0,Clear,Dark / Unlighted,1.0,20,0,Roadway Departure Right,0,N,0.0,D,15.0,21.0,M,Y,1.0,Apparently Normal,7.0,0,0,0,Failed to Yield,To Emergency Vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
170394391,Tulsa,northern,,City Street,5,0.0,0.0,property_damage,0.0,0,0.0,0.0,0.0,ANGLE-TURNING,ANGLE-TURNING,36.27706771,-95.8301329,2017,2017-01-29,5.03,2,0,N,       ,N,N,0,Clear,Dark / Lighted,1.0,7,0,Roadway Departure Right,0,N,0.0,D,2.0,34.0,F,Y,1.0,Apparently Normal,4.0,0,0,0,Failed to Yield,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170401407,Craig,northern,I-44,Turnpike Interstate,1,20.0,0.0,property_damage,0.0,0,0.0,0.0,0.0,ANGLE-TURNING,ANGLE-TURNING,36.6297442,-95.1368182,2017,2017-01-07,16.4,2,0,N,       ,N,N,0,Clear,Daylight,1.0,12,0,No Roadway Departure,0,N,0.0,D,2.0,46.0,F,Y,1.0,Apparently Normal,4.0,0,0,0,Failed to Yield,From Stop Sign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170402167,Washington,northern,US-75,US Route,1,0.0,0.0,property_damage,0.0,0,0.0,0.0,0.0,ANGLE-TURNING,ANGLE-TURNING,36.7367189,-95.9352812,2017,2017-01-17,20.18,2,0,N,       ,N,N,0,Clear,Dark / Lighted,1.0,7,0,No Roadway Departure,0,N,0.0,D,1.0,20.0,M,Y,1.0,Apparently Normal,4.0,0,0,0,Failed to Yield,To Vehicle in Intersection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170402169,Washington,northern,US-60,US Route,1,0.0,0.0,possible_injury,0.0,0,0.0,0.0,1.0,RIGHT-ANGLE,RIGHT-ANGLE,36.7462922,-95.973889,2017,2017-01-17,7.22,2,0,N,       ,N,N,0,Clear,Dawn,1.0,1,0,No Roadway Departure,0,N,0.0,D,15.0,17.0,M,Y,2.0,Apparently Normal,99.0,0,1,0,Failed to Yield,From Stop Sign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
170402171,Washington,northern,US-75,US Route,0,0.0,0.0,possible_injury,0.0,0,0.0,0.0,1.0,SIDESWIPE-SAME,SIDESWIPE-SAME,36.7199122,-95.9351757,2017,2017-01-15,22.1,2,0,N,       ,N,N,0,Rain,Dark / Lighted,2.0,16,0,No Roadway Departure,0,N,0.0,D,1.0,17.0,M,Y,1.0,Apparently Normal,4.0,0,1,0,Failed to Yield,To Vehicle on Right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
170402176,Washington,northern,,City Street,1,0.0,0.0,possible_injury,0.0,0,0.0,0.0,2.0,PEDESTRIAN,PEDESTRIAN,36.7514594,-95.9787608,2017,2017-01-13,7.34,1,0,N,       ,N,N,0,Sleet/Hail/Freezing Rain,Dawn,2.0,29,2,No Roadway Departure,0,Y,0.0,D,99.0,0.0,9,Y,1.0,Unknown,99.0,0,0,0,Failed to Yield,To Pedestrian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
170402178,Washington,northern,US-60,US Route,1,0.0,0.0,property_damage,0.0,0,0.0,0.0,0.0,RIGHT-ANGLE,RIGHT-ANGLE,36.7466163,-95.9778129,2017,2017-01-12,18.5,2,0,N,       ,N,N,0,Cloudy,Dark / Lighted,1.0,1,0,No Roadway Departure,0,N,0.0,D,20.0,59.0,F,Y,1.0,Apparently Normal,4.0,0,0,0,Failed to Yield,To Vehicle in Intersection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170402181,Washington,northern,,City Street,1,0.0,0.0,property_damage,0.0,0,0.0,0.0,0.0,ANGLE-TURNING,ANGLE-TURNING,36.7461915,-95.9639457,2017,2017-01-11,11.05,2,0,N,       ,N,N,0,Clear,Daylight,1.0,7,0,No Roadway Departure,0,N,0.0,D,2.0,71.0,M,Y,1.0,Apparently Normal,4.0,1,0,0,Failed to Yield,From Signal Light,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170402185,Washington,northern,US-60,US Route,0,1.0,0.0,property_damage,0.0,0,0.0,0.0,0.0,ANGLE-TURNING,ANGLE-TURNING,36.7280233,-95.9343236,2017,2017-01-09,8.13,2,0,N,       ,N,N,0,Cloudy,Daylight,1.0,6,0,No Roadway Departure,0,N,0.0,D,4.0,52.0,M,Y,1.0,Apparently Normal,4.0,0,0,0,Failed to Yield,Private Drive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170402188,Washington,northern,,City Street,1,0.0,0.0,possible_injury,0.0,0,0.0,0.0,1.0,ANGLE-TURNING,ANGLE-TURNING,36.7507051,-95.9675713,2017,2017-01-06,16.33,2,0,N,       ,N,N,0,Clear,Daylight,1.0,6,0,No Roadway Departure,0,N,0.0,D,4.0,52.0,M,Y,1.0,Apparently Normal,4.0,0,0,0,Failed to Yield,From Stop Sign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170402192,Washington,northern,SH-123,State Highway,1,0.0,0.0,property_damage,0.0,0,0.0,0.0,0.0,RIGHT-ANGLE,RIGHT-ANGLE,36.7532244,-95.9776019,2017,2017-01-03,13.09,2,0,N,       ,N,N,0,Clear,Daylight,1.0,1,0,No Roadway Departure,0,N,0.0,D,2.0,70.0,M,Y,1.0,Apparently Normal,4.0,1,0,0,Failed to Yield,From Stop Sign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170402193,Washington,northern,,City Street,1,1.0,0.0,possible_injury,0.0,0,0.0,0.0,1.0,RIGHT-ANGLE,RIGHT-ANGLE,36.7450231,-95.9745517,2017,2017-01-31,17.14,2,0,N,       ,N,N,0,Clear,Daylight,1.0,1,0,No Roadway Departure,0,N,0.0,D,2.0,33.0,F,Y,1.0,Apparently Normal,4.0,0,0,0,Failed to Yield,Private Drive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170402196,Washington,northern,,City Street,1,0.0,0.0,possible_injury,0.0,0,0.0,0.0,2.0,RIGHT-ANGLE,RIGHT-ANGLE,36.755248,-95.9420171,2017,2017-01-30,18.3,2,0,N,       ,N,N,0,Clear,Dark / Unlighted,1.0,1,0,No Roadway Departure,0,N,0.0,D,2.0,62.0,F,Y,2.0,Apparently Normal,4.0,0,0,0,Failed to Yield,From Yield Sign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
170402199,Washington,northern,,City Street,1,0.0,0.0,property_damage,0.0,0,0.0,0.0,0.0,RIGHT-ANGLE,RIGHT-ANGLE,36.7436092,-95.9804503,2017,2017-01-28,10.3,2,0,N,       ,N,N,0,Clear,Daylight,1.0,1,0,No Roadway Departure,0,N,0.0,D,2.0,56.0,M,Y,1.0,Apparently Normal,4.0,0,0,0,Failed to Yield,From Stop Sign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170402200,Washington,northern,US-75,US Route,0,0.0,0.0,incapacitating_injury,4.0,0,3.0,1.0,0.0,ANGLE-TURNING,ANGLE-TURNING,36.7639689,-95.9354566,2017,2017-01-27,15.57,2,0,N,       ,N,N,0,Clear,Daylight,1.0,6,0,No Roadway Departure,0,N,0.0,D,21.0,45.0,F,Y,4.0,Apparently Normal,4.0,0,0,0,Failed to Yield,From Stop Sign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170402201,Washington,northern,US-75,US Route,0,1.0,0.0,possible_injury,0.0,0,0.0,0.0,2.0,ANGLE-TURNING,ANGLE-TURNING,36.7217943,-95.9351773,2017,2017-01-27,15.35,2,0,N,       ,N,N,0,Clear,Daylight,1.0,6,0,No Roadway Departure,0,N,0.0,D,20.0,18.0,F,Y,2.0,Apparently Normal,4.0,0,1,0,Failed to Yield,Private Drive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170402206,Washington,northern,,City Street,1,0.0,0.0,property_damage,0.0,0,0.0,0.0,0.0,RIGHT-ANGLE,RIGHT-ANGLE,36.7404812,-95.9737499,2017,2017-01-25,12.52,2,0,N,       ,N,N,0,Clear,Daylight,1.0,1,0,No Roadway Departure,0,N,2.0,D,2.0,27.0,F,Y,1.0,Apparently Normal,4.0,0,0,0,Failed to Yield,From Stop Sign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170402207,Washington,northern,,City Street,8,0.0,0.0,possible_injury,0.0,0,0.0,0.0,1.0,ANGLE-TURNING,ANGLE-TURNING,36.71354088,-95.93546071,2017,2017-01-25,7.51,2,0,N,       ,N,N,0,Clear,Daylight,1.0,12,0,No Roadway Departure,0,N,2.0,D,20.0,52.0,F,Y,1.0,Apparently Normal,4.0,0,0,0,Failed to Yield,Private Drive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170402210,Washington,northern,US-75,US Route,0,0.0,0.0,non_incapacitating_injury,1.0,0,0.0,1.0,0.0,REAR-END,REAR-END,36.7364289,-95.9352824,2017,2017-01-24,18.3,2,0,N,       ,N,N,0,Clear,Dark / Lighted,1.0,3,0,No Roadway Departure,0,N,0.0,D,20.0,68.0,F,Y,1.0,Apparently Normal,4.0,1,0,0,Failed to Yield,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170402211,Washington,northern,,City Street,8,0.0,0.0,property_damage,0.0,0,0.0,0.0,0.0,ANGLE-TURNING,ANGLE-TURNING,36.7074094,-95.93732663,2017,2017-01-23,14.09,2,0,N,       ,N,N,0,Clear,Daylight,1.0,10,0,Roadway Departure Right,0,N,2.0,D,4.0,53.0,F,Y,1.0,Apparently Normal,4.0,0,0,0,Failed to Yield,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170402214,Washington,northern,,City Street,1,0.0,0.0,property_damage,0.0,0,0.0,0.0,0.0,RIGHT-ANGLE,RIGHT-ANGLE,36.7514674,-95.9730773,2017,2017-01-23,7.49,2,0,N,       ,N,N,0,Clear,Daylight,1.0,1,0,No Roadway Departure,0,N,0.0,D,4.0,30.0,M,Y,1.0,Apparently Normal,4.0,0,0,0,Failed to Yield,To Vehicle in Intersection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
