Route ID,Segment ID,County,Mileage,AADT
1800001HX0000,2351,Craig,6.32533547,23900
2100004HX0000,2586,Delaware,3.72937811,3400
2100044HX0000,2695,Delaware,11.2063391,7300
2100004HX0000,3029,Delaware,5.77225834,3400
4900041HX0000,4574,Mayes,7.96204758,19800
5800001HX0000,5882,Ottawa,6.95039985,22600
6600030HX0000,6787,Rogers,4.52768678,22200
6600008HX0000,6821,Rogers,0.5933429,17600
6600030HX0000,8086,Rogers,1.66141161,29600
6800022HX0000,8325,Sequoyah,2.9503116,21100
7200009HX0000,8693,Tulsa,0.5536456,39700
7200009HX0000,8842,Tulsa,0.4292404,78300
7200009HX0000,9029,Tulsa,0.5199736,84800
7200009HX0000,9088,Tulsa,0.5893569,36300
7200009HX0000,9280,Tulsa,0.1990955,84800
7200009HX0000,9409,Tulsa,0.2122383,68000
7200081HX0000,9852,Tulsa,2.035,68400
7200081HX0000,9912,Tulsa,0.2291867,62300
7400021HX0000,11954,Washington,4.948154,14500
