Route ID,Segment ID,County,Total Crashes
7200009HX0000,8693,Tulsa,116
7200009HX0000,9029,Tulsa,103
7200009HX0000,8842,Tulsa,94
4900041HX0000,4574,Mayes,90
1800001HX0000,2351,Craig,85
7200081HX0000,9852,Tulsa,83
6600008HX0000,6821,Rogers,73
7200009HX0000,9088,Tulsa,68
5800001HX0000,5882,Ottawa,58
1100007UX0000,1604,Cherokee,57
2100044HX0000,2695,Delaware,57
7200036HX0000,9021,Tulsa,52
6800010HX0000,8569,Sequoyah,51
6800022HX0000,8325,Sequoyah,50
6600030HX0000,6787,Rogers,46
7200009HX0000,9409,Tulsa,46
5100063HX0000,4529,Muskogee,44
7200009HX0000,9280,Tulsa,44
7200081HX0000,9912,Tulsa,44
1800001HX0000,1947,Craig,44
